CFW_ID,ORG_ID,SUPERIOR_ORG_ID,BLANK
"1AD-CFW","70-ENGBN","3-BDE-1-AD",
"1AD-CFW","71-MAINTBN","7-CSG",
"1AD-CFW","71-ORDCO","71-MAINTBN",
"1AD-CFW","720-EODDET","191-ORDBN",
"1AD-CFW","77-MAINTCO","18-MAINTBN",
"1AD-CFW","7-CSG","3-SUPCOM-HQ",
"1AD-CFW","7-TCGP-TPTDD","21-TSC-HQ",
"1AD-CFW","900-POL-SUPPLYCO","316-POL-SUPPLYBN",
"1AD-CFW","AVNBDE-1-AD","1-AD",
"1AD-CFW","AWR-2","21-TSC-HQ",
"TRANSCOM-CFW","CONUSGround","GlobalSea",
"1AD-CFW","DISCOM-1-AD","1-AD",
"1AD-CFW","DIVARTY-1-AD","1-AD",
"1AD-CFW","DLAHQ","NCA",
"1AD-CFW","FORSCOM","NCA",
"TRANSCOM-CFW","GlobalAir","TRANSCOM",
"TRANSCOM-CFW","GlobalSea","TRANSCOM",
"1AD-CFW","HNS","NCA",
"1AD-CFW","JSRCMDSE","NATO",
"1AD-CFW","NATO","NCA",
"1AD-CFW","OSC","NCA",
"TRANSCOM-CFW","PlanePacker","GlobalAir",
"1AD-CFW","RSA","21-TSC-HQ",
"TRANSCOM-CFW","ShipPacker","GlobalSea",
"TRANSCOM-CFW","TheaterGround","GlobalSea",
"TRANSCOM-STUB-CFW","TRANSCOM","NCA",
"TRANSCOM-CFW","TRANSCOM","NCA",
"1AD-CFW","USAEUR","USEUCOM",
"1AD-CFW","USEUCOM","NCA",
