CFW_ID,ORG_ID,ORGTYPE_ID,BLANK
"1AD-CFW","1-1-CAVSQDN","AVNBDE-1-AD-OGT",
"1AD-CFW","1-1-CAVSQDN","CAVSQDN",
"1AD-CFW","1-13-ARBN","3-BDE-1-AD-OGT",
"1AD-CFW","1-13-ARBN","ARBN",
"1AD-CFW","1-27-FABN","5-CORPS-ARTY-OGT",
"1AD-CFW","1-27-FABN","FABN",
"1AD-CFW","1-35-ARBN","2-BDE-1-AD-OGT",
"1AD-CFW","1-35-ARBN","ARBN",
"1AD-CFW","1-36-INFBN","1-BDE-1-AD-OGT",
"1AD-CFW","1-36-INFBN","INFBN",
"1AD-CFW","1-37-ARBN","1-BDE-1-AD-OGT",
"1AD-CFW","1-37-ARBN","ARBN",
"1AD-CFW","1-4-ADABN","1-AD-DIV-OGT",
"1AD-CFW","1-4-ADABN","DIV-OTHER",
"1AD-CFW","1-41-INFBN","3-BDE-1-AD-OGT",
"1AD-CFW","1-41-INFBN","INFBN",
"1AD-CFW","1-501-AVNBN","AVNBDE-1-AD-OGT",
"1AD-CFW","1-501-AVNBN","AVNBN-ATTACK",
"1AD-CFW","1-6-INFBN","2-BDE-1-AD-OGT",
"1AD-CFW","1-6-INFBN","INFBN",
"1AD-CFW","1-94-FABN","DIVARTY-1-AD-OGT",
"1AD-CFW","1-94-FABN","FABN",
"1AD-CFW","1-AD","DIV-HQ",
"1AD-CFW","1-AD-DIV","1-AD-DIV-OGT",
"1AD-CFW","1-AD-DIV","CMD-PASS-THRU",
"1AD-CFW","1-BDE-1-AD","1-BDE-1-AD-OGT",
"1AD-CFW","1-BDE-1-AD","BDE-HQ",
"1AD-CFW","102-POL-SUPPLYCO","16-CSG-OGT",
"1AD-CFW","102-POL-SUPPLYCO","CORPS-POL-SUPPLYCO",
"1AD-CFW","106-TCBN","16-CSG-OGT",
"1AD-CFW","106-TCBN","CORPS-TCBN",
"1AD-CFW","109-MDM-TRKCO","37-TRANSGP-OGT",
"1AD-CFW","109-MDM-TRKCO","THEATER-OTHER",
"1AD-CFW","11-AVN-RGT","5-CORPS-REAR-OGT",
"1AD-CFW","11-AVN-RGT","AVN-RGT",
"1AD-CFW","110-POL-SUPPLYCO","37-TRANSGP-OGT",
"1AD-CFW","110-POL-SUPPLYCO","THEATER-POL-SUPPLYCO",
"1AD-CFW","12-AVNBDE","5-CORPS-REAR-OGT",
"1AD-CFW","12-AVNBDE","AVNBDE",
"1AD-CFW","123-MSB","DISCOM-1-AD-OGT",
"1AD-CFW","123-MSB","MSB",
"1AD-CFW","125-FSB","3-BDE-1-AD-OGT",
"1AD-CFW","125-FSB","FSB",
"1AD-CFW","125-ORDBN","7-CSG-OGT",
"1AD-CFW","125-ORDBN","CORPS-ORD-MGR",
"1AD-CFW","127-DASB","AVNBDE-1-AD-OGT",
"1AD-CFW","127-DASB","DASB",
"1AD-CFW","130-ENGBDE","5-CORPS-REAR-OGT",
"1AD-CFW","130-ENGBDE","ENGBDE",
"1AD-CFW","141-SIGBN","1-AD-DIV-OGT",
"1AD-CFW","141-SIGBN","DIV-OTHER",
"1AD-CFW","15-PLS-TRKCO","16-CSG-OGT",
"1AD-CFW","15-PLS-TRKCO","CORPS-OTHER",
"1AD-CFW","16-CSG","16-CSG-OGT",
"1AD-CFW","16-CSG","CSG",
"1AD-CFW","16-ENGBN","1-BDE-1-AD-OGT",
"1AD-CFW","16-ENGBN","ENGBN",
"1AD-CFW","18-MAINTBN","16-CSG-OGT",
"1AD-CFW","18-MAINTBN","CORPS-MAINTBN",
"1AD-CFW","18-MPBDE","5-CORPS-REAR-OGT",
"1AD-CFW","18-MPBDE","CORPS-OTHER",
"1AD-CFW","18-PERISH-SUBPLT","29-SPTGP-OGT",
"1AD-CFW","18-PERISH-SUBPLT","THEATER-PERISHABLE-SUPPLYCO",
"1AD-CFW","181-TCBN","7-CSG-OGT",
"1AD-CFW","181-TCBN","CORPS-TCBN",
"1AD-CFW","19-MMC","3-SUPCOM-OGT",
"1AD-CFW","19-MMC","CORPS-OTHER",
"1AD-CFW","191-ORDBN","29-SPTGP-OGT",
"1AD-CFW","191-ORDBN","THEATER-ORD-MGR",
"1AD-CFW","2-3-FABN","1-BDE-1-AD-OGT",
"1AD-CFW","2-3-FABN","FABN",
"1AD-CFW","2-37-ARBN","1-BDE-1-AD-OGT",
"1AD-CFW","2-37-ARBN","ARBN",
"1AD-CFW","2-4-FABN-MLRS","5-CORPS-ARTY-OGT",
"1AD-CFW","2-4-FABN-MLRS","FABN",
"1AD-CFW","2-501-AVNBN","AVNBDE-1-AD-OGT",
"1AD-CFW","2-501-AVNBN","AVNBN-TRANSPORT",
"1AD-CFW","2-6-INFBN","2-BDE-1-AD-OGT",
"1AD-CFW","2-6-INFBN","INFBN",
"1AD-CFW","2-70-ARBN","3-BDE-1-AD-OGT",
"1AD-CFW","2-70-ARBN","ARBN",
"1AD-CFW","2-BDE-1-AD","2-BDE-1-AD-OGT",
"1AD-CFW","2-BDE-1-AD","BDE-HQ",
"1AD-CFW","200-MMC","21-TSC-OGT",
"1AD-CFW","200-MMC","THEATER-OTHER",
"1AD-CFW","205-MIBDE","5-CORPS-REAR-OGT",
"1AD-CFW","205-MIBDE","CORPS-OTHER",
"1AD-CFW","208-SCCO","3-SUPCOM-OGT",
"1AD-CFW","208-SCCO","CORPS-OTHER",
"1AD-CFW","21-TSC-HQ","21-TSC-OGT",
"1AD-CFW","21-TSC-HQ","TSC",
"1AD-CFW","22-SIGBDE","5-CORPS-REAR-OGT",
"1AD-CFW","22-SIGBDE","CORPS-OTHER",
"1AD-CFW","226-MAINTCO","16-CSG-OGT",
"1AD-CFW","226-MAINTCO","CORPS-MAINTCO",
"1AD-CFW","227-SUPPLYCO","16-CSG-OGT",
"1AD-CFW","227-SUPPLYCO","CORPS-SUPPLYCO",
"1AD-CFW","23-ORDCO","29-SPTGP-OGT",
"1AD-CFW","23-ORDCO","THEATER-OTHER",
"1AD-CFW","238-POL-TRKCO","16-CSG-OGT",
"1AD-CFW","238-POL-TRKCO","CORPS-OTHER",
"1AD-CFW","24-ORDCO","29-SPTGP-OGT",
"1AD-CFW","24-ORDCO","THEATER-OTHER",
"1AD-CFW","240-SSCO","7-CSG-OGT",
"1AD-CFW","240-SSCO","CORPS-SSCO",
"1AD-CFW","244-ENGBN-CBTHVY","5-CORPS-REAR-OGT",
"1AD-CFW","244-ENGBN-CBTHVY","CORPS-ENGBN",
"1AD-CFW","25-FABTRY-TGTACQ","DIVARTY-1-AD-OGT",
"1AD-CFW","25-FABTRY-TGTACQ","FABTRY",
"1AD-CFW","26-SSCO","16-CSG-OGT",
"1AD-CFW","26-SSCO","CORPS-SSCO",
"1AD-CFW","263-FLDSVC-CO","16-CSG-OGT",
"1AD-CFW","263-FLDSVC-CO","CORPS-FLDSVC-CO",
"1AD-CFW","27-TCBN-MVTCTRL","3-SUPCOM-OGT",
"1AD-CFW","27-TCBN-MVTCTRL","CORPS-OTHER",
"1AD-CFW","28-TCBN","37-TRANSGP-OGT",
"1AD-CFW","28-TCBN","THEATER-TCBN",
"1AD-CFW","286-ADA-SCCO","5-CORPS-REAR-OGT",
"1AD-CFW","286-ADA-SCCO","CORPS-OTHER",
"1AD-CFW","29-SPTGP","29-SPTGP-OGT",
"1AD-CFW","29-SPTGP","THEATER-SPTGP",
"1AD-CFW","3-13-FABN-155","5-CORPS-ARTY-OGT",
"1AD-CFW","3-13-FABN-155","FABN",
"1AD-CFW","3-BDE-1-AD","3-BDE-1-AD-OGT",
"1AD-CFW","3-BDE-1-AD","BDE-HQ",
"1AD-CFW","3-SUPCOM-HQ","3-SUPCOM-OGT",
"1AD-CFW","3-SUPCOM-HQ","SUPCOM-HQ",
"1AD-CFW","30-MEDBDE","5-CORPS-REAR-OGT",
"1AD-CFW","30-MEDBDE","CORPS-OTHER",
"1AD-CFW","316-POL-SUPPLYBN","7-CSG-OGT",
"1AD-CFW","316-POL-SUPPLYBN","CORPS-POL-SUPPLYBN",
"1AD-CFW","317-MAINTCO","7-CSG-OGT",
"1AD-CFW","317-MAINTCO","CORPS-OTHER",
"1AD-CFW","343-SUPPLYCO","29-SPTGP-OGT",
"1AD-CFW","343-SUPPLYCO","THEATER-SUPPLYCO",
"1AD-CFW","37-TRANSGP","37-TRANSGP-OGT",
"1AD-CFW","37-TRANSGP","THEATER-TRANSGP",
"1AD-CFW","372-CGO-TRANSCO","16-CSG-OGT",
"1AD-CFW","372-CGO-TRANSCO","CORPS-OTHER",
"1AD-CFW","377-HVY-TRKCO","7-CSG-OGT",
