COMPONENT_LIB_ID,AGENT_LIB_NAME,AGENT_ORG_CLASS,BLANK
"NCA","NCA","MilitaryOrganization",
"FORSCOM","FORSCOM","MilitaryOrganization",
"DLAHQ","DLAHQ","MilitaryOrganization",
"OSC","OSC","MilitaryOrganization",
"HNS","HNS","MilitaryOrganization",
"USEUCOM","USEUCOM","MilitaryOrganization",
"USAEUR","USAEUR","MilitaryOrganization",
"NATO","NATO","MilitaryOrganization",
"JSRCMDSE","JSRCMDSE","MilitaryOrganization",
"TRANSCOM","TRANSCOM","MilitaryOrganization",
"GlobalSea","GlobalSea","MilitaryOrganization",
"GlobalAir","GlobalAir","MilitaryOrganization",
"ShipPacker","ShipPacker","MilitaryOrganization",
"PlanePacker","PlanePacker","MilitaryOrganization",
"CONUSGround","CONUSGround","MilitaryOrganization",
"TheaterGround","TheaterGround","MilitaryOrganization",
"5-CORPS","5-CORPS","MilitaryOrganization",
"1-AD","1-AD","MilitaryOrganization",
"1-AD-DIV","1-AD-DIV","MilitaryOrganization",
"501-MPCO","501-MPCO","MilitaryOrganization",
"141-SIGBN","141-SIGBN","MilitaryOrganization",
"1-4-ADABN","1-4-ADABN","MilitaryOrganization",
"501-MIBN-CEWI","501-MIBN-CEWI","MilitaryOrganization",
"69-CHEMCO","69-CHEMCO","MilitaryOrganization",
"1-BDE-1-AD","1-BDE-1-AD","MilitaryOrganization",
"2-37-ARBN","2-37-ARBN","MilitaryOrganization",
"1-36-INFBN","1-36-INFBN","MilitaryOrganization",
"1-37-ARBN","1-37-ARBN","MilitaryOrganization",
"16-ENGBN","16-ENGBN","MilitaryOrganization",
"2-3-FABN","2-3-FABN","MilitaryOrganization",
"501-FSB","501-FSB","MilitaryOrganization",
"2-BDE-1-AD","2-BDE-1-AD","MilitaryOrganization",
"1-6-INFBN","1-6-INFBN","MilitaryOrganization",
"2-6-INFBN","2-6-INFBN","MilitaryOrganization",
"1-35-ARBN","1-35-ARBN","MilitaryOrganization",
"40-ENGBN","40-ENGBN","MilitaryOrganization",
"4-27-FABN","4-27-FABN","MilitaryOrganization",
"47-FSB","47-FSB","MilitaryOrganization",
"3-BDE-1-AD","3-BDE-1-AD","MilitaryOrganization",
"1-13-ARBN","1-13-ARBN","MilitaryOrganization",
"1-41-INFBN","1-41-INFBN","MilitaryOrganization",
