TRIAL_ID,EXPT_ID,DESCRIPTION,NAME,BLANK
"TINY-1AD-TRANS-STUB.TRIAL","TINY-1AD-TRANS-STUB","TRIAL","TRIAL",
"TINY-1AD-TRANS.TRIAL","TINY-1AD-TRANS","TRIAL","TRIAL",
"FULL-1AD-TRANS.TRIAL","FULL-1AD-TRANS","TRIAL","TRIAL",
"FULL-1AD-TRANS-STUB.TRIAL","FULL-1AD-TRANS-STUB","TRIAL","TRIAL",
"SMALL-1AD-TRANS.TRIAL","SMALL-1AD-TRANS","TRIAL","TRIAL",
"SMALL-1AD-TRANS-STUB.TRIAL","SMALL-1AD-TRANS-STUB","TRIAL","TRIAL",
"SD-SMALL-1AD-TRANS-STUB.TRIAL","SD-SMALL-1AD-TRANS-STUB","TRIAL","TRIAL",
