COMPONENT_LIB_ID,COMPONENT_TYPE,COMPONENT_CLASS,INSERTION_POINT,DESCRIPTION,BLANK
"DLA-OTHER","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","DLA-OTHER",
"DLA-AVIATION","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","DLA-AVIATION",
"DSCC","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","DSCC",
"DRYTECH","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","DRYTECH",
"PARTSALACARTE","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","PARTSALACARTE",
"WARNERROBBINS","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","WARNERROBBINS",
"PWCSANDIEGO","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","PWCSANDIEGO",
"GRAINGER","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","GRAINGER",
"NEWARK","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","NEWARK",
"CCAD","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","CCAD",
"NCA","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","NCA",
"FORSCOM","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","FORSCOM",
"DLAHQ","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","DLAHQ",
"OSC","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","OSC",
"HNS","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","HNS",
"USEUCOM","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","USEUCOM",
"USAEUR","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","USAEUR",
"NATO","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","NATO",
"JSRCMDSE","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","JSRCMDSE",
"TRANSCOM","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","TRANSCOM",
"GlobalSea","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","GlobalSea",
"GlobalAir","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","GlobalAir",
"ShipPacker","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","ShipPacker",
"PlanePacker","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","PlanePacker",
"CONUSGround","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","CONUSGround",
"TheaterGround","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","TheaterGround",
"5-CORPS","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","5-CORPS",
"1-AD","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","1-AD",
"1-AD-DIV","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","1-AD-DIV",
"501-MPCO","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","501-MPCO",
"141-SIGBN","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","141-SIGBN",
"1-4-ADABN","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","1-4-ADABN",
"501-MIBN-CEWI","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","501-MIBN-CEWI",
"69-CHEMCO","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","69-CHEMCO",
